Sample	Associatednumber	DNA_concentration_ng.uL	Station	StationNumber	Stromkilometer	Sample_type	Sample_date	Sat_O2_Perc	Temperature_TBDHereon	Salinity_PSU	Turbidity_NTU	pH	O2_uM	SPM_mgperL	DOC_mg.L	TN_mg.L	DIC_mg.L	Silicate_mg.L	Ammonium_mg.L	Nitrite_mg.L	Nitrate_mg.L	Total_DIN_uM	SRP_mgperL	TotalDissolvedPhosphate_mg.L	Ammonium_uM	Nitrite_uM	Nitrate_uM	SRP_uM	Phosphate_uM	Silicate_uM	DOC_uM/L	DIC_uM/L	RespirationRate_O2ug.L.h	POC_mgperL	PTC_mgperL	PTN_mgperL	PTH_mgperL	AccessionNumber_TBDSven
BbL1	63	126	Brunsbuttel	5	691.997	Light_fraction	Jul 21	73.37	22.19	1.39	78.37	7.91	197.64	102.75	3.212	0.487	11.19		0.031	0.007	1.432	203.44	0.083	0.087578	0.396	0.213	202.831	NA	2.744	65.3	267.4282098	931.6692616		6.18492637	14.26293705	4.161250668	3.9275608	
BbL2	64	30	Brunsbuttel	5	691.997	Light_fraction	Jul 21	73.37	22.19	1.39	78.37	7.91	197.64	102.75	4.289	0.6347	14.69		0.024	0.007	1.295	203.44	0.074	0.083803	0.396	0.213	202.831	NA	2.744	65.3	357.0982541	1223.07609		9.402580555	9.536117622	2.867119384	2.9456706	
BbH1	65	34	Brunsbuttel	5	691.997	Heavy_fraction	Jul 21	73.37	22.19	1.39	78.37	7.91	197.64	380	3.212	0.487	11.19		0.031	0.007	1.432	203.44	0.083	0.087578	0.396	0.213	202.831	NA	2.744	65.3	267.4282098	931.6692616		23.47601279	39.63105225	3.996293114	10.99717024	
BbH2	66	86	Brunsbuttel	5	691.997	Heavy_fraction	Jul 21	73.37	22.19	1.39	78.37	7.91	197.64	380	4.289	0.6347	14.69		0.024	0.007	1.295	203.44	0.074	0.083803	0.396	0.213	202.831	NA	2.744	65.3	357.0982541	1223.07609		28.05653057	35.07213605	3.374756617	9.62252396	
BbF1	67	2.81	Brunsbuttel	5	691.997	Free_living	Jul 21	73.37	22.19	1.39	78.37	7.91	197.64	NA	3.212	0.487	11.19		0.031	0.007	1.432	203.44	0.083	0.087578	0.396	0.213	202.831	NA	2.744	65.3	267.4282098	931.6692616						
BbF2	68	1.12	Brunsbuttel	5	691.997	Free_living	Jul 21	73.37	22.19	1.39	78.37	7.91	197.64	NA	4.289	0.6347	14.69		0.024	0.007	1.295	203.44	0.074	0.083803	0.396	0.213	202.831	NA	2.744	65.3	357.0982541	1223.07609						
ML1	85	11	Muhlenberger Loch	2	633	Light_fraction	Feb 22	92.82	5.52650405	0.31390005	50.052827	NA	364.35	40.8	10.3	4.078	21.97	4.619	0.134	0.02	2.935		0.03	0.052578							857.5686679	1829.202295	19.9850109	7.930727145	9.140415872	1.631901512	1.9637804	
ML2	86	9.3	Muhlenberger Loch	2	633	Light_fraction	Feb 22	92.82	5.52650405	0.31390005	50.052827	NA	364.35	40.8	10.34	4.08	21.92	4.664	0.137	0.02	2.954		0.032	0.05432							860.8990317	1825.03934		7.861994831	8.781044059	3.619247277	1.86559138	
MH1	87	156	Muhlenberger Loch	2	633	Heavy_fraction	Feb 22	92.82	5.52650405	0.31390005	50.052827	NA	364.35	69.6	10.3	4.078	21.97	4.619	0.134	0.02	2.935		0.03	0.052578							857.5686679	1829.202295	21.48116297	11.03840963	13.18089404	4.12197506	2.4547255	
MH2	88	44	Muhlenberger Loch	2	633	Heavy_fraction	Feb 22	92.82	5.52650405	0.31390005	50.052827	NA	364.35	69.6	10.34	4.08	21.92	4.664	0.137	0.02	2.954		0.032	0.05432							860.8990317	1825.03934		10.62994331	13.23195234	1.483636092	2.4547255	
MF1	89	0.037	Muhlenberger Loch	2	633	Free_living	Feb 22	92.82	5.52650405	0.31390005	50.052827	NA	364.35		10.3	4.078	21.97	4.619	0.134	0.02	2.935		0.03	0.052578							857.5686679	1829.202295						
MF2	90	9.8	Muhlenberger Loch	2	633	Free_living	Feb 22	92.82	5.52650405	0.31390005	50.052827	NA	364.35		10.34	4.08	21.92	4.664	0.137	0.02	2.954		0.032	0.05432							860.8990317	1825.03934						
SchL1	91	16	Schwarztonnensand	4	665	Light_fraction	Feb 22	89.53	5.7669156	0.413464533	51.6223434	NA	349.05	53.6	10.14	3.883	22.63	4.694	0.042	0.033	2.958		0.046	0.048012							844.2472129	1884.153297	16.27332543	8.156561891	9.248423794	3.202925832	2.35653648	
SchL2	92	9.5	Schwarztonnensand	4	665	Light_fraction	Feb 22	89.53	5.7669156	0.413464533	51.6223434	NA	349.05	53.6	9.698	3.777	20.07	4.691	0.04	0.033	2.926		0.044	0.052851							807.4466934	1671.010016		7.934654706	10.57692123	4.51767681	2.25834746	
